2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWCLM_REOMB_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWCLM_SPENDDOWN.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWCLM_TPL_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWDUR_PD02.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_API_RE050.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_DR_EX_PAI.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_DSS_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_FDB.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_FFS_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_PDL_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_RPTS.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWREF_RRI.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CLM\PWSYS_ITRACE_EX.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PCRM_KA_CNSLAPP.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD5CRM_SRVY_REQ.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_GIO_EXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_G_APL_FH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_INSIGHT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_LG_BATCH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_LG_EMAIL.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_LG_INDX.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_L_2_CMOD.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_MIS_MP.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PD7CRM_SUB_NTFY.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PMCRM_01_INSIGH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PMCRM_05_INSIGH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PMCRM_07_INSIGH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PMCRM_25_INSIGH.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\CSP\PMCRM_FFS.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\DSH\PD5DSH_COLLECTN.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\DSH\PD5DSH_ETL_ISM.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\DSH\PD7DSH_AWSEXT.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\DSH\PD7DSH_CAL_UPD.jil'
2025-08-30 11:57:28 | [DEBUG] | collectSourceFiles | Adding File to collection : 'C:\VS_Managed_Accounts\KSXIX\DEVB\DSH\PD7DSH_COLLECTN.jil'
